date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:18:48	9847/9847	---M-Z	200	added ('OK')	text/html	date:Tue,%2021%20May%202019%2010:18:50%20GMT	http://bibliograph.net/itemListElement	C:/My%20Web%20Sites/BiblioGraph/bibliograph.net/itemListElement.html	(from http://bibliograph.net/Thing)
11:18:48	40278/40278	---M-Z	200	added ('OK')	text/html	date:Tue,%2021%20May%202019%2010:18:50%20GMT	http://bibliograph.net/ItemList	C:/My%20Web%20Sites/BiblioGraph/bibliograph.net/ItemList.html	(from http://bibliograph.net/Thing)
11:18:49	6289/6289	---M-Z	200	added ('OK')	text/html	date:Tue,%2021%20May%202019%2010:18:50%20GMT	http://bibliograph.net/itemReviewed	C:/My%20Web%20Sites/BiblioGraph/bibliograph.net/itemReviewed.html	(from http://bibliograph.net/Thing)
11:18:49	38998/38998	---M-Z	200	added ('OK')	text/html	date:Tue,%2021%20May%202019%2010:18:50%20GMT	http://bibliograph.net/AggregateRating	C:/My%20Web%20Sites/BiblioGraph/bibliograph.net/AggregateRating.html	(from http://bibliograph.net/Thing)
11:18:49	63687/63687	---M-Z	200	added ('OK')	text/html	date:Tue,%2021%20May%202019%2010:18:51%20GMT	http://bibliograph.net/Review	C:/My%20Web%20Sites/BiblioGraph/bibliograph.net/Review.html	(from http://bibliograph.net/Thing)
11:18:49	6144/6144	---M-Z	200	added ('OK')	text/html	date:Tue,%2021%20May%202019%2010:18:51%20GMT	http://bibliograph.net/mentions	C:/My%20Web%20Sites/BiblioGraph/bibliograph.net/mentions.html	(from http://bibliograph.net/Thing)
11:18:50	7547/7547	---M-Z	200	added ('OK')	text/html	date:Tue,%2021%20May%202019%2010:18:51%20GMT	http://bibliograph.net/object	C:/My%20Web%20Sites/BiblioGraph/bibliograph.net/object.html	(from http://bibliograph.net/Thing)
11:18:50	6776/6776	---M-Z	200	added ('OK')	text/html	date:Tue,%2021%20May%202019%2010:18:52%20GMT	http://bibliograph.net/option	C:/My%20Web%20Sites/BiblioGraph/bibliograph.net/option.html	(from http://bibliograph.net/Thing)
11:18:50	19969/19969	---M-Z	200	added ('OK')	text/html	date:Tue,%2021%20May%202019%2010:18:52%20GMT	http://bibliograph.net/ChooseAction	C:/My%20Web%20Sites/BiblioGraph/bibliograph.net/ChooseAction.html	(from http://bibliograph.net/Thing)
11:18:50	6107/6107	---M-Z	200	added ('OK')	text/html	date:Tue,%2021%20May%202019%2010:18:52%20GMT	http://bibliograph.net/produces	C:/My%20Web%20Sites/BiblioGraph/bibliograph.net/produces.html	(from http://bibliograph.net/Thing)
